Field Name,Category,Description,Sheet,Cell
PROPERTY_NAME,General Assumptions,PROPERTY_NAME,Assumptions (Summary),$D$6
PROPERTY_CITY,General Assumptions,PROPERTY_CITY,Assumptions (Summary),$D$8
PROPERTY_STATE,General Assumptions,PROPERTY_STATE,Assumptions (Summary),$D$9
YEAR_BUILT,General Assumptions,YEAR_BUILT,Assumptions (Summary),$D$10
YEAR_RENOVATED,General Assumptions,YEAR_RENOVATED,Assumptions (Summary),$D$11
LOCATION_QUALITY,General Assumptions,LOCATION_QUALITY,Assumptions (Summary),$D$13
BUILDING_QUALITY,General Assumptions,BUILDING_QUALITY,Assumptions (Summary),$D$14
UNITS,General Assumptions,UNITS,Assumptions (Summary),$G$6
AVG_SQUARE_FEET,General Assumptions,AVG_SQUARE_FEET,Assumptions (Summary),$G$7
NUMBER_OF_PARKING_SPACES_COVERED,General Assumptions,NUMBER_OF_PARKING_SPACES_COVERED,Assumptions (Summary),$G$9
NUMBER_OF_PARKING_SPACES_UNCOVERED,General Assumptions,NUMBER_OF_PARKING_SPACES_UNCOVERED,Assumptions (Summary),$G$10
INDIVIDUALLY_METERED,General Assumptions,INDIVIDUALLY_METERED,Assumptions (Summary),$G$13
CURRENT_OWNER,General Assumptions,CURRENT_OWNER,Assumptions (Summary),$I$6
LAST_SALE_DATE,General Assumptions,LAST_SALE_DATE,Assumptions (Summary),$I$7
LAST_SALE_PRICE,General Assumptions,LAST_SALE_PRICE,Assumptions (Summary),$I$8
LAST_SALE_PRICE_PER_UNIT,General Assumptions,LAST_SALE_PRICE_PER_UNIT,Assumptions (Summary),$I$9
LAST_SALE_CAP_RATE,General Assumptions,LAST_SALE_CAP_RATE,Assumptions (Summary),$I$10
BUILDING_HEIGHT,General Assumptions,BUILDING_HEIGHT,Assumptions (Summary),$I$12
BUILDING_TYPE,General Assumptions,BUILDING_TYPE,Assumptions (Summary),$D$12
PROJECT_TYPE,General Assumptions,PROJECT_TYPE,Assumptions (Summary),$D$7
NUMBER_OF_BUILDINGS,General Assumptions,NUMBER_OF_BUILDINGS,Assumptions (Summary),$I$11
BUILDING_ZONING,General Assumptions,BUILDING_ZONING,Assumptions (Summary),$I$13
LAND_AREA,General Assumptions,LAND_AREA,Assumptions (Summary),$I$14
PARCEL_NUMBER,General Assumptions,PARCEL_NUMBER,Assumptions (Summary),$K$13
MARKET,General Assumptions,MARKET,Assumptions (Summary),$M$6
SUBMARKET_CLUSTER,General Assumptions,SUBMARKET_CLUSTER,Assumptions (Summary),$M$7
SUBMARKET,General Assumptions,SUBMARKET,Assumptions (Summary),$M$8
COUNTY,General Assumptions,COUNTY,Assumptions (Summary),$M$9
PROPERTY_LATITUDE,General Assumptions,PROPERTY_LATITUDE,Rent Comp Inputs,$K$44
PROPERTY_LONGITUDE,General Assumptions,PROPERTY_LONGITUDE,Rent Comp Inputs,$L$44
PROPERTY_ADDRESS,General Assumptions,PROPERTY_ADDRESS,Rent Comp Inputs,$O$44
PROPERTY_ZIP,General Assumptions,PROPERTY_ZIP,Rent Comp Inputs,$J$44
EXIT_PERIOD_MONTHS,Exit Assumptions,EXIT_PERIOD_MONTHS,Assumptions (Summary),$D$23
EXIT_CAP_RATE,Exit Assumptions,EXIT_CAP_RATE,Assumptions (Summary),$D$30
SALES_TRANSACTION_COSTS,Exit Assumptions,SALES/TRANSACTION_COSTS,Assumptions (Summary),$D$31
EMPIRICAL_RENT,NOI Assumptions,EMPIRICAL_RENT,Assumptions (Summary),$D$38
RENT_PSF,NOI Assumptions,RENT_PSF,Assumptions (Summary),$D$39
GROSS_POTENTIAL_RENTAL_INCOME,NOI Assumptions,GROSS_POTENTIAL_RENTAL_INCOME,Assumptions (Summary),$D$42
CONCESSIONS,NOI Assumptions,CONCESSIONS,Assumptions (Summary),$D$43
LOSS_TO_LEASE,NOI Assumptions,LOSS-TO-LEASE,Assumptions (Summary),$D$44
VACANCY_LOSS,NOI Assumptions,VACANCY_LOSS,Assumptions (Summary),$D$45
BAD_DEBTS,NOI Assumptions,BAD_DEBTS,Assumptions (Summary),$D$46
OTHER_LOSS,NOI Assumptions,OTHER_LOSS,Assumptions (Summary),$D$47
PROPERTY_MANAGEMENT_FEE,NOI Assumptions,PROPERTY_MANAGEMENT_FEE,Assumptions (Summary),$D$68
NET_RENTAL_INCOME,NOI Assumptions,NET_RENTAL_INCOME,Assumptions (Summary),$D$49
PARKING_INCOME,NOI Assumptions,PARKING_INCOME,Assumptions (Summary),$D$52
UTILITY_INCOME,NOI Assumptions,UTILITY_INCOME,Assumptions (Summary),$D$53
STORAGE_INCOME,NOI Assumptions,STORAGE_INCOME,Assumptions (Summary),$D$54
